n_ocupacao,media_SNR,var_SNR,DP_SNR
0,nan,nan,nan
10,-24.58410620174892,1.1561643084143525,1.0752508118640751
20,-28.03017833290153,0.6800118390605656,0.8246283035771726
30,-29.31214904031471,1.3796185572625534,1.1745716484159463
40,-30.281742450317324,0.2627327299190982,0.5125746091244651
50,-30.91339652616322,1.1400998557290996,1.0677545859087187
60,-31.557256434379116,0.2864954642020481,0.535252710597572
70,-31.777064764603686,0.3274811459848522,0.5722596840463708
80,-32.121221266879836,0.17674098587989961,0.420405739589625
90,-32.31097152052132,0.1735273200457017,0.4165661052530579
100,-32.37785061681264,0.04890142651698327,0.22113666931782994
