n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-0.0008703655943373943,1.1960714131775086e-05,0.0034584265398841544
10,2.2805587292692593,0.037985769922213884,0.19489938409911378
20,-0.8849377179151099,0.14804037454320723,0.38476015196899904
30,-4.6485519012334215,0.08319256802205545,0.2884312188755847
40,-7.548769859096056,0.021918828993109502,0.14805008947349374
50,-9.769686224108547,0.011667095326930863,0.10801432926668046
60,-11.586384630667084,0.019643499581078566,0.14015526954445404
70,-13.072325037686806,0.012008037147619334,0.10958118975270954
80,-14.36843911875175,0.007465028475092113,0.08640039626698545
90,-15.479918370256748,0.006011159124544709,0.07753166530227962
100,-16.494832808399305,0.03713307024942383,0.19269942981084254
