n_ocupacao,media_EME,var_EME,DP_EME
0,0.0009811301915239978,0.0002858078263465794,0.016905851837354408
10,-0.09048681028909666,9.593175510821473e-05,0.009794475744429343
20,0.0012451649490032165,0.001345625219598108,0.036682764612255
30,-0.09397824967698004,0.03007681108192784,0.17342667350188046
40,-0.41459119736968153,0.0010367978118621978,0.03219934489802856
50,-0.6659624558467133,0.0005417748054895756,0.02327605648492836
60,-0.9514824520617325,0.0011795731412033966,0.03434491434264172
70,-1.625631219427152,0.0021973430384060488,0.0468758257357249
80,-2.210606417470069,0.0011898127432462137,0.034493662363486624
90,-3.0112070258677766,0.014412190281953141,0.12005078209638262
100,-3.6564119199329888,0.006621743132419363,0.08137409374253801
