Oc,media_erro,var_erro,desvio_padrao_erro
0,-0.7947887535644094,57.72968838372663,7.598005553020255
10,-12.566072275654397,2415.6186140043205,49.148943162639014
20,-13.883959346548403,2925.0631810984873,54.08385323826777
30,-12.850376078799439,3098.685915739911,55.66584155242702
40,-10.86501539284356,3069.3683876290925,55.40188072285175
50,-8.420291493698446,2824.9389664239634,53.150154904985584
60,-6.246539623890813,2615.5275642964266,51.14222877717031
70,-4.575130508338825,2367.9854957901057,48.66195121231891
80,-3.310186740580887,2052.1940219544176,45.30114813064254
90,-1.830993308787309,1673.2825644262887,40.905776663281785
100,-0.9553106717655138,1362.5907469411832,36.913286861795214
