Oc,media_erro,var_erro,desvio_padrao_erro
0,-0.8002240353227618,57.76941838246883,7.600619605168307
10,-13.080189014666912,2389.685645741511,48.88441107082616
20,-14.564965326638625,2949.086698067307,54.30549417938582
30,-13.615530889769675,3111.2035467097353,55.77816370865695
40,-11.456366475089466,3078.2466056830194,55.48194846689344
50,-9.024739512330868,2864.1993274510087,53.51821491278468
60,-6.831623511586561,2620.6324616138704,51.19211327552195
70,-5.070734630321359,2357.5953294630112,48.55507521838486
80,-3.7019189397020313,2038.8888068119008,45.15405637162514
90,-2.354941075230427,1714.1221251606676,41.40195798704051
100,-1.4151550181847052,1358.4455128454188,36.85709582760718
