Oc,media_erro,var_erro,desvio_padrao_erro
0,-0.7952104662242186,57.745286320991994,7.599031933147274
10,-13.068794548465304,2553.8033636569694,50.535169571863214
20,-15.292112313876052,3142.794907528475,56.060635989332795
30,-14.681775596698339,3378.4250296317196,58.12422067977961
40,-12.974707210636598,3333.781048041539,57.738904111885766
50,-10.886473557571312,3093.3298333804596,55.617711507940164
60,-8.907227171481408,2897.5635164238215,53.829021135664554
70,-7.137082033667471,2612.867876791039,51.116219312377154
80,-5.673997459908759,2269.143901165955,47.63553191857896
90,-4.287721374224112,1882.980050440315,43.393318039075034
100,-3.218043169404771,1502.139393929495,38.75744307780759
