n_ocupacao,media_MAE,var_MAE,DP_MAE
0,0.9539303808781231,0.00909411292497774,0.09536305849215271
10,7.473477360635554,0.5739867435726597,0.7576191283043608
20,10.791853320383494,1.1980924741209151,1.0945741062718939
30,13.602759075170821,1.8806133571408021,1.3713545701753438
40,16.02192394678258,2.6012325072941613,1.6128336886654375
50,18.128880173685186,3.3015883114365114,1.817027328202994
60,19.98824842199264,4.013216710195977,2.0033014526515913
70,21.626945587978234,4.682953458533793,2.164013275960615
80,23.091141468780055,5.336684201370458,2.3101264470522946
90,24.349720400376498,5.907435850591242,2.430521723949663
100,25.48762070653373,6.479067150422585,2.545401176715094
