n_ocupacao,media_MSE,var_MSE,DP_MSE
10,759.8902716556121,36120.1301834714,190.0529667841873
20,1660.775801338792,91583.34868212891,302.6274090067337
30,2266.634205683844,118143.06462451491,343.7194562786851
40,2781.6863312137125,74110.29478193693,272.23206053280524
50,3274.800761466145,165608.19585693764,406.9498689727491
60,3787.602506250274,554674.8512795756,744.7649637835923
70,3986.8194789295303,168588.625056621,410.59545182164527
80,4341.558246572288,104524.03213909418,323.3017663717509
90,4564.924981679187,95367.88052970108,308.8169045400544
100,4639.032472757848,59238.73030512076,243.3900784853827
