Oc,media_erro,var_erro,desvio_padrao_erro
0,0.0013138956329535314,1.4581864323332325,1.2075539045248591
10,-0.23809631539978096,168.36286344974363,12.975471607989578
20,-0.35080541830067175,309.8263853248408,17.601885845693946
30,-0.3975645659830073,442.2697741958959,21.030210987907275
40,-0.6178404216117661,568.8880444765515,23.85137405845943
50,-1.7673658996370707,687.6108623104793,26.222335180347294
60,-2.21014648465943,805.0518138997758,28.37343500353413
70,-2.9889299970454117,916.9736152525634,30.28157220575846
80,-3.1677578589042112,1019.9593215749328,31.936801993545515
90,-4.954767350824246,1114.432567389495,33.38311799981384
100,-5.28637806509017,1202.6149400117818,34.67873901992086
