n_ocupacao,media_DP,var_DP,DP_DP
0,0.0,0.0,0.0
10,8.466242919513459,1.6587365550227862,1.2879194675998908
20,17.77823244900593,5.0809300635681725,2.254091848964494
30,25.385186262495257,8.41798085320574,2.9013756828797166
40,32.49393634594439,11.146132008771623,3.3385823351793533
50,39.35746065683379,17.527083376984525,4.186535963894795
60,45.696287999584726,19.158057866462325,4.376991874159961
70,51.14945042015627,26.972876851668467,5.1935418407545795
80,56.790909151097296,32.06137187826656,5.662276209994225
90,61.57577922422674,37.153215437210946,6.095343750537039
100,65.19865855093732,39.69028588004812,6.300022688851852
