Oc,media_erro,var_erro,desvio_padrao_erro
0,nan,nan,nan
10,-0.5060550545302349,863.4125584686639,29.383882630936707
20,-1.2487810787973601,1646.711225773493,40.57968981859636
30,-1.9570610390518148,2303.7701097506097,47.997605250164405
40,-2.4528080993571955,2906.4400630564232,53.911409395937916
50,-3.0099721433381514,3373.5971941906905,58.08267550819858
60,-3.665347383430235,3791.382931197966,61.5742067037649
70,-4.197943910963437,4119.874812248991,64.18625095960186
80,-4.747629013171511,4396.455674878423,66.30577406891818
90,-5.435588594982693,4562.306782585035,67.54485015591519
100,-6.0906609029928465,4691.10105197592,68.49161300462941
