Oc,media_erro,var_erro,desvio_padrao_erro
0,nan,nan,nan
10,-0.6840798062854756,847.2582120730782,29.107700219582416
20,-1.6007885488843085,1701.5679130301103,41.25006561243401
30,-2.2443175950069345,2294.1816687058736,47.89761652426844
40,-3.1934453330274244,3008.186634064701,54.84693823783331
50,-4.066777864208016,3463.706694863948,58.85326409693814
60,-4.998065148392005,3924.4232402027533,62.64521721730042
70,-5.876345843215048,4334.038714427464,65.8334163964431
80,-6.644070749791323,4543.015125889777,67.4018925987229
90,-7.583796700270249,4825.460306628971,69.46553322784595
100,-8.475243449654313,4890.03554544791,69.92878910325783
