Oc,media_erro,var_erro,desvio_padrao_erro
0,nan,nan,nan
10,-0.7148142697234593,891.6247198227336,29.860085730331278
20,-1.2677173827260784,1541.8711025727323,39.26666655794368
30,-1.9418696530141502,2152.4898677398414,46.394933643015825
40,-2.5775959693105532,2829.9293604737118,53.19708037546527
50,-3.455752673318328,3301.0042132076583,57.45436635459187
60,-4.017941417862515,3714.9431156395544,60.95033318727269
70,-4.74697473177367,4046.058947452944,63.60863893727757
80,-5.4305183517435465,4333.822367593655,65.83177323750026
90,-6.141527773472311,4467.604517339205,66.84014151196274
100,-6.719581286108185,4602.896352218651,67.84464866309392
