Oc,media_erro,var_erro,desvio_padrao_erro
0,nan,nan,nan
10,-0.6664597503776525,894.6940227703253,29.91143632075072
20,-1.1793795417162187,1565.4762503921356,39.566099762197126
30,-1.8279715361289268,2117.3651463150813,46.014836154387005
40,-2.574448526632809,2756.876628549403,52.50596755178789
50,-3.244896896287541,3203.821103971195,56.60230652518672
60,-3.8010753562071495,3639.7208658032146,60.330099169512515
70,-4.61811791565708,4031.5687226570208,63.49463538486555
80,-5.1891469170289914,4314.856713197501,65.6875689396213
90,-5.93980337817076,4440.709576782561,66.63864927189447
100,-6.529088369350393,4537.488339882813,67.36088137697438
