n_ocupacao,media_EME,var_EME,DP_EME
0,-6.538441856288873e-05,8.31617965071675e-07,0.0009119308992855079
10,-2.000141095513284,0.0743024661310956,0.2725847870500032
20,-2.903798627878513,0.12437399415306694,0.352666973436792
30,-3.0844773178134446,0.1390755140894435,0.3729282961769507
40,-2.997880928858476,0.1771395295943535,0.4208794715763095
50,-2.8311301292503903,0.1545443106598689,0.3931212416798015
60,-2.613485913794098,0.14948199952820282,0.3866290205457977
70,-2.4718686346067957,0.13746987946168673,0.3707693076047244
80,-2.377712611527025,0.1268415159181594,0.3561481656813066
90,-2.3708015988197633,0.13821068849878765,0.3717669814531512
100,-2.3313889802145087,0.10909369034585539,0.3302933398448346
