n_ocupacao,media_MSE,var_MSE,DP_MSE
0,0.023274745394410302,0.00029881378838176513,0.01728623117922947
10,602.6875737235628,6398.9064935954075,79.99316529301367
20,954.081691686492,15722.701199406267,125.3901957866175
30,1187.0164482381654,21890.734751346354,147.95517818361867
40,1353.7993773531828,27410.23299615427,165.56036058233948
50,1459.972953914971,36374.030298564445,190.71976902923421
60,1520.8982006448596,34210.57557909297,184.96101097013113
70,1572.509104044378,39838.17199809601,199.59501997318472
80,1614.2653956560373,39794.71300413303,199.48612233469532
90,1694.4981757105375,44416.11310182607,210.75130628735394
100,1706.728720344454,47239.22156455036,217.34585702182216
