n_ocupacao,media_EME,var_EME,DP_EME
10,-13.171925617134963,7.966846762334931,2.8225603204067986
20,-14.686461737772454,0.9108982397369086,0.9544098908419321
30,-13.453157391053022,0.5755054187101528,0.7586207344320038
40,-11.210830258607674,0.2097958761294108,0.45803479794597574
50,-9.009259313140511,0.2728211590855961,0.5223228494768308
60,-7.039539652645019,0.5568074359982799,0.7461953068723227
70,-5.1861752084565165,0.28673700374362643,0.5354782943720748
80,-3.6634127279464006,0.13387168387934267,0.365884795911695
90,-2.3671383661070147,0.3245840939621929,0.5697228220478735
100,-1.4400778007170516,0.08324750815790075,0.28852644273601813
