Oc,media_erro,var_erro,desvio_padrao_erro
0,-0.3033066545958619,53.241513709601875,7.296678265457637
10,-10.904519702273273,3624.834179718656,60.20659581572982
20,-14.694269912285023,4945.664961059763,70.32542186904934
30,-14.567427445878735,5431.546566546876,73.69902690366322
40,-12.77011825648384,5262.430693239063,72.54261294741914
50,-11.198997015288702,5287.185862823733,72.71303777744218
60,-9.83360298355342,5286.529383337553,72.70852345727805
70,-8.781982320892906,5182.3973226769,71.98886943602393
80,-8.219623648105236,5187.915152100456,72.02718342473524
90,-8.015046696767323,5246.677454924571,72.4339523629946
100,-7.829349342790152,5327.21396589526,72.9877658645287
