Oc,media_erro,var_erro,desvio_padrao_erro
0,-0.5077747426839768,52.576649533820486,7.2509757642554895
10,-9.619914431151676,3334.96409312155,57.749147986109286
20,-13.054006043050196,4510.839218367143,67.16278149665291
30,-12.5388912663395,4860.92856971114,69.72035979332823
40,-10.940180775828216,4811.8335368365215,69.3673809281893
50,-9.33571231582579,4793.8540520843135,69.23766353715521
60,-8.309081507639057,4751.1699153005875,68.92873069555675
70,-7.346719941200831,4631.933325181655,68.05830827446165
80,-6.806915821966022,4628.097159574103,68.03011950286508
90,-6.79581937967204,4775.222779600189,69.10298676323758
100,-6.445152126457623,4702.480203261372,68.57463235965156
