n_ocupacao,media_MAE,var_MAE,DP_MAE
0,0.0,0.0,0.0
10,0.8818512958329698,0.009891392045827258,0.09945547770649567
20,2.8683355450407886,0.09248029163805185,0.3041057244414381
30,5.460429673513566,0.32142727466699855,0.5669455658764768
40,8.540519293113803,0.7539506314163916,0.8683033061185427
50,11.815944826867536,1.4466878159987275,1.2027833620393689
60,15.260334026266419,2.3908233186305266,1.546228740720637
70,18.73515883512609,3.5742015509127123,1.8905558841020047
80,22.210929583613485,5.028157179418728,2.242355275021942
90,25.67365658428804,6.683800938457844,2.5853048057159222
100,28.705101578912558,8.328153973302975,2.885854115041676
